ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at,checked_at,check_result,check_reliability
2a10:50c0::ad2:ff,dns.adguard.com.,212772,AdGuard Software Limited,CY,,,,TRUE,1,2021-11-09T18:06:53Z,2021-09-24T04:08:34Z,,,
2001:148f:ffff::1,odvr.nic.cz.,20701,"CZ.NIC, z.s.p.o.",CZ,,,,TRUE,1,2023-04-20T15:48:10Z,2021-09-24T04:08:47Z,,,
2001:878:0:e000:82:e1:f4:a6,deic-lgb.anycast.censurfridns.dk.,1835,Danish network for Research and Education,DK,,9.11.35+dampening,,TRUE,1,2021-11-29T07:31:46Z,2021-09-24T04:08:53Z,,,
2a01:4f8:141:316d::117,dnsforge.de.,24940,Hetzner Online GmbH,DE,Mylau,PowerDNS Recursor 4.5.7 (built Nov  5 2021 07:20:14 by root@cbff30d82427),,TRUE,1,2021-11-21T23:34:55Z,2021-09-24T04:10:27Z,,,
2a02:c205:3001:4558::1,dismail.de.,51167,Contabo GmbH,DE,,,,TRUE,1,2023-02-26T08:51:44Z,2021-09-24T04:10:35Z,,,
2a02:6b8::feed:ff,dns.yandex.ru.,13238,YANDEX LLC,RU,Moscow,PowerDNS Recursor 4.0.8 (built Dec 11 2017 10:39:35 by root@4351f9921268),,FALSE,1,2021-09-24T04:29:06Z,2021-09-24T04:29:06Z,,,
2a02:6b8:0:1::feed:ff,secondary.dns.yandex.ru.,13238,YANDEX LLC,RU,Moscow,PowerDNS Recursor 4.0.8 (built Dec 11 2017 10:39:35 by root@4351f9921268),,FALSE,1,2021-09-24T04:29:10Z,2021-09-24T04:29:10Z,,,
2a0c:a9c7:8::1,a.res-nsdi.ru.,41740,Joint-stock company Internet Exchange MSK-IX,RU,,,,TRUE,1,2021-09-24T04:29:12Z,2021-09-24T04:29:12Z,,,
2610:a1:1018::5,,397213,ULTRADNS,US,,,,TRUE,1,2021-09-28T03:03:11Z,2021-09-27T22:59:44Z,,,
2001:4860:4860::6464,dns64.dns.google.,15169,GOOGLE,US,,,,TRUE,1,2021-09-28T05:07:22Z,2021-09-27T23:03:10Z,,,
2606:4700:4700::64,dns64.cloudflare-dns.com.,13335,CLOUDFLARENET,US,,,,TRUE,1,2023-03-05T06:57:30Z,2021-09-27T23:03:13Z,,,
2606:4700:4700::6400,dns64.cloudflare-dns.com.,13335,CLOUDFLARENET,US,,,,TRUE,1,2023-03-08T07:44:44Z,2021-09-27T23:03:13Z,,,
2610:a1:1019::2,,397215,ULTRADNS,US,,,,TRUE,0.95,2021-09-29T14:03:54Z,2021-09-27T23:03:16Z,,,
2610:a1:1019::5,,397215,ULTRADNS,US,,,,TRUE,0.75,2021-09-28T14:07:22Z,2021-09-27T23:03:18Z,,,
2620:fe::11,dns11.quad9.net.,19281,QUAD9-AS-1,US,,Q9-B-7.2,,TRUE,1,2021-10-20T10:03:29Z,2021-09-27T23:03:21Z,,,
2620:fe::fe:10,dns10.quad9.net.,19281,QUAD9-AS-1,US,,Q9-U-7.2,,TRUE,1,2021-09-28T05:07:43Z,2021-09-27T23:03:22Z,,,
2620:fe::fe:11,dns11.quad9.net.,19281,QUAD9-AS-1,US,,Q9-B-7.2,,TRUE,1,2021-09-29T23:11:31Z,2021-09-27T23:03:23Z,,,
2620:fe::fe:9,dns9.quad9.net.,19281,QUAD9-AS-1,US,,Q9-P-7.2,,TRUE,1,2021-09-29T23:11:30Z,2021-09-27T23:03:27Z,,,
2a0d:2a00:1::2,,205157,Daniel Cid,US,,CleanBrowsing v1.6a - dns-edge-europe-frankfurt-v,,TRUE,1,2021-09-28T14:07:25Z,2021-09-27T23:03:28Z,,,
2a0d:2a00:2::2,,205157,Daniel Cid,US,,CleanBrowsing v1.6a - dns-edge-europe-frankfurt-v,,TRUE,1,2021-09-28T14:07:25Z,2021-09-27T23:03:28Z,,,
2a05:dfc7:5353::53,,204136,Silent Ghost e.U.,AQ,,,,TRUE,1,2021-09-27T23:22:58Z,2021-09-27T23:22:58Z,,,
2001:41d0:700:537::,srv2.it-df.net.,16276,OVH SAS,DE,Frankfurt am Main,none,,TRUE,1,2021-09-27T23:23:58Z,2021-09-27T23:23:58Z,,,
2001:470:1f07:ed6::,,6939,HURRICANE,US,Bronxville,none,,TRUE,1,2021-09-27T23:23:59Z,2021-09-27T23:23:59Z,,,
2001:4ba0:ffa4:1ce::,srv4.it-df.net.,24961,myLoc managed IT AG,DE,,none,,TRUE,1,2021-09-27T23:24:19Z,2021-09-27T23:24:19Z,,,
2604:ffc0::,,36232,NEXTGI,US,,v1-nextgi,,TRUE,1,2021-09-27T23:26:49Z,2021-09-27T23:26:49Z,,,
2001:678:e68:f000::,,212567,Freie Netze Muenchen e.V.,DE,,dot.ffmuc.net,,TRUE,1,2021-09-28T08:02:09Z,2021-09-28T02:34:50Z,,,
2a09::,public-dns-a.dns.sb.,6233,XTOM,,,,,TRUE,1,2021-09-29T23:11:43Z,2021-09-28T02:39:18Z,,,
2001:468:c80:4101:0:100:0:42,jeru.cns.ipv6.vt.edu.,1312,VA-TECH-AS,US,,fancy new chroot version,,TRUE,1,2021-09-28T14:07:26Z,2021-09-28T03:35:28Z,,,
2a03:4000:55:d1d::,3gy.de.,197540,netcup GmbH,DE,,PowerDNS Recursor 4.3.5,,TRUE,1,2021-10-01T22:07:51Z,2021-09-30T07:43:50Z,,,
2001:4ba0:ffa4:3f7::,srv3.it-df.net.,24961,myLoc managed IT AG,DE,,none,,TRUE,1,2021-09-30T11:18:02Z,2021-09-30T11:18:02Z,,,
2a0f:4a80:0:5::6734,,50673,Serverius Holding B.V.,IN,,none,,TRUE,1,2021-09-30T11:18:16Z,2021-09-30T11:18:16Z,,,
2400:6180:0:d0::5f6e:4001,resolver.tiar.app.,14061,DIGITALOCEAN-ASN,SG,Singapore,,,TRUE,1,2021-10-03T03:07:38Z,2021-10-02T14:20:46Z,,,
2400:8902::f03c:91ff:feda:c514,jp.tiar.app.,63949,"Akamai Technologies, Inc.",JP,Tokyo,,,TRUE,1,2023-03-05T07:00:30Z,2021-10-02T14:21:01Z,,,
2001:1a68::d911:2244,,15694,ATM S.A.,PL,,atman.pl,,FALSE,1,2021-11-09T21:19:43Z,2021-10-02T14:47:39Z,,,
2001:1bc0::ffff:aaaa:2,trance.probe-networks.de.,29686,Probe Networks,DE,,Make my day,,TRUE,1,2021-10-02T14:48:43Z,2021-10-02T14:48:43Z,,,
2001:1bc0::ffff:bbbb:2,ns2.probe-networks.de.,29686,Probe Networks,DE,,Make my day,,FALSE,1,2021-10-02T14:48:44Z,2021-10-02T14:48:44Z,,,
2001:470:0:45::2,tserv1.fmt2.he.net.,6939,HURRICANE,US,,PowerDNS Recursor 4.5.5 (built Jul 30 2021 09:12:27 by root@e27da47647ee),,TRUE,1,2021-10-02T14:52:42Z,2021-10-02T14:52:42Z,,,
2001:4870:6082:3::100,dlfw-rdns-01.dlfw.twtelecom.net.,3549,LVLT-3549,US,,Version: recursive-main/18640994,,FALSE,1,2021-10-02T14:57:05Z,2021-10-02T14:57:05Z,,,
2001:4870:6082:3::5,,3549,LVLT-3549,US,,Version: recursive-main/18640994,,FALSE,1,2021-10-02T14:57:52Z,2021-10-02T14:57:52Z,,,
2001:550:1:1::d,na-res1.dns.cogentco.com.,174,COGENT-174,US,,blue,,TRUE,1,2021-10-02T15:00:58Z,2021-10-02T15:00:58Z,,,
2001:550:1:2::d,na-res2.dns.cogentco.com.,174,COGENT-174,US,,blue,,TRUE,1,2021-10-02T15:01:22Z,2021-10-02T15:01:22Z,,,
2001:738:6001:b0b0::1000,dns.uni-miskolc.hu.,1955,KIFU (Governmental Info Tech Development Agency),HU,Miskolc,9.10.3-P4-Debian,,FALSE,1,2021-10-03T11:03:17Z,2021-10-02T15:05:22Z,,,
2001:978:1:2::d,eu-res2.dns.cogentco.com.,174,COGENT-174,US,,blue,,TRUE,1,2021-10-02T16:01:32Z,2021-10-02T15:07:16Z,,,
2a02:200:1:11::100,zrh1-ns01.monzoon.net.,24889,Monzoon Networks AG,CH,Zweidlen-Dorf,,,TRUE,1,2021-10-02T16:02:57Z,2021-10-02T15:18:05Z,,,
2a02:200:1:12::100,riv1-ns01.monzoon.net.,24889,Monzoon Networks AG,CH,Zweidlen-Dorf,,,TRUE,1,2021-10-02T16:03:09Z,2021-10-02T15:18:05Z,,,
2a09::1,public-dns-b.dns.sb.,6233,XTOM,,,,,TRUE,1,2021-10-03T04:06:55Z,2021-10-02T15:20:06Z,,,
2001:8b0:978:f4a4::1,agni.tunstall.in.,20712,Andrews & Arnold Ltd,GB,Ringstead,dnsmasq-pi-hole-2.84,,FALSE,1,2021-10-02T18:03:32Z,2021-10-02T17:11:09Z,,,
2a03:e2c0:73e:a::13,,205125,Network Management Ltd,RU,Moscow,dnsmasq-pi-hole-2.85,,FALSE,1,2021-10-02T18:14:01Z,2021-10-02T18:14:01Z,,,
2001:41d0:1:de53::1,,16276,OVH SAS,FR,,,,FALSE,1,2021-10-02T19:06:53Z,2021-10-02T19:06:53Z,,,
2001:470:23:4bd::2,tunnel629696-pt.tunnel.tserv22.tyo1.ipv6.he.net.,6939,HURRICANE,RU,Berdsk,dnsmasq-pi-hole-2.87test3,,FALSE,1,2021-10-02T19:08:48Z,2021-10-02T19:08:48Z,,,
2a03:b0c0:2:d0::cf0:c001,,14061,DIGITALOCEAN-ASN,NL,Amsterdam,dnsmasq-pi-hole-2.85,,FALSE,1,2021-10-02T19:09:43Z,2021-10-02T19:09:43Z,,,
2a00:f48:1003:1::759d:c751,,47447,23M GmbH,DE,,dnsmasq-pi-hole-2.80,,FALSE,1,2021-10-02T19:09:47Z,2021-10-02T19:09:47Z,,,
2001:bc8:670:112::1,,12876,Online S.a.s.,FR,,SDNS v1.1.8 (github.com/semihalev/sdns),,TRUE,1,2021-10-03T02:52:44Z,2021-10-03T02:52:44Z,,,
